Total stations retrieved: 44045

Available stations:
Name: Karlsplatz (Stachus), ID: de:09162:1
Name: Marienplatz, ID: de:09162:2
Name: Isartor, ID: de:09162:3
Name: Rosenheimer Platz, ID: de:09162:4
Name: München, Ostbahnhof, ID: de:09162:5
Name: Hauptbahnhof Bahnhofsplatz, ID: de:09162:6
Name: Hackerbrücke, ID: de:09162:7
Name: Donnersbergerbrücke, ID: de:09162:8
Name: Laim, ID: de:09162:9
Name: Pasing, ID: de:09162:10
Name: Leonrodplatz, ID: de:09162:11
Name: Hochschule München (Lothstr.), ID: de:09162:12
Name: Sandstraße, ID: de:09162:13
Name: Karlstraße, ID: de:09162:15
Name: Lenbachplatz, ID: de:09162:16
Name: Nationaltheater, ID: de:09162:17
Name: Kammerspiele, ID: de:09162:18
Name: Maxmonument, ID: de:09162:19
Name: Marienplatz (Theatinerstraße), ID: de:09162:20
Name: Maximilianeum, ID: de:09162:21
Name: Flurstraße, ID: de:09162:22
Name: Grillparzerstraße, ID: de:09162:23
Name: Alter Messeplatz, ID: de:09162:25
Name: Isartor/Zweibrückenstraße, ID: de:09162:26
Name: Ridlerstraße, ID: de:09162:27
Name: Landshuter Allee, ID: de:09162:29
Name: Poccistraße, ID: de:09162:30
Name: Hirschgarten, ID: de:09162:31
Name: Hochschule München, ID: de:09162:32
Name: Nordbad, ID: de:09162:34
Name: Görresstraße, ID: de:09162:35
Name: Georgenstraße, ID: de:09162:36
Name: Müllerstraße, ID: de:09162:38
Name: Goetheplatz, ID: de:09162:40
Name: Eduard-Schmid-Straße, ID: de:09162:41
Name: Mariahilfplatz, ID: de:09162:42
Name: Kurfürstenplatz, ID: de:09162:43
Name: Winzererstraße, ID: de:09162:44
Name: Infanteriestraße Süd, ID: de:09162:45
Name: Haidenauplatz, ID: de:09162:46
Name: Elisabethplatz, ID: de:09162:47
Name: Nordendstraße, ID: de:09162:48
Name: Schellingstraße, ID: de:09162:49
Name: Sendlinger Tor, ID: de:09162:50
Name: Pinakotheken, ID: de:09162:51
Name: Karolinenplatz, ID: de:09162:52
Name: Ottostraße, ID: de:09162:53
Name: Donnersbergerstraße, ID: de:09162:54
Name: Hermann-Lingg-Straße, ID: de:09162:55
Name: Georg-Hirth-Platz, ID: de:09162:56
Name: Beethovenplatz, ID: de:09162:57
Name: Kapuzinerplatz/Arbeitsagentur, ID: de:09162:58
Name: Kapuzinerstraße, ID: de:09162:59
Name: Odeonsplatz, ID: de:09162:60
Name: Baldeplatz, ID: de:09162:61
Name: Claude-Lorrain-Straße, ID: de:09162:62
Name: Humboldtstraße, ID: de:09162:63
Name: Barthstraße, ID: de:09162:64
Name: Trappentreustraße, ID: de:09162:65
Name: Schrenkstraße, ID: de:09162:66
Name: Holzapfelstraße, ID: de:09162:67
Name: Reichenbachplatz, ID: de:09162:68
Name: Universität, ID: de:09162:70
Name: Am Gasteig, ID: de:09162:71
Name: Friedensengel/Villa Stuck, ID: de:09162:73
Name: Holbeinstraße, ID: de:09162:74
Name: Sternwartstraße, ID: de:09162:75
Name: Herkomerplatz, ID: de:09162:76
Name: Mauerkircherstraße, ID: de:09162:77
Name: Tivolistraße, ID: de:09162:78
Name: Paradiesstraße, ID: de:09162:79
Name: Giselastraße, ID: de:09162:80
Name: Nationalmuseum/Haus der Kunst, ID: de:09162:81
Name: Astallerstraße, ID: de:09162:82
Name: Tumblingerstraße, ID: de:09162:83
Name: Mariannenplatz, ID: de:09162:84
Name: Kazmairstraße, ID: de:09162:85
Name: Maxvorstadt/Samml. Brandhorst, ID: de:09162:86
Name: Bergmannstraße, ID: de:09162:87
Name: Wörthstraße, ID: de:09162:88
Name: Orleansstraße, ID: de:09162:89
Name: Holzkirchner Bahnhof, ID: de:09162:90
Name: Bundesfinanzhof, ID: de:09162:91
Name: Kustermannpark, ID: de:09162:92
